Round,Algorithm,Observation,Guess,Correct Label,Is Correct,Time Taken
1,RandomGuessAlgorithm,020120100,1,0,0,0.0009760856628417969
1,OnlyZerosAlgorithm,020120100,0,0,1,0.0009760856628417969
1,MultiArmedBanditAlgorithm,020120100,1,0,0,0.0009768009185791016
1,MAMLReptileAlgorithm,020120100,1,0,0,0.0009765625
1,SATAlgorithm,020120100,2,0,0,0.003905773162841797
2,RandomGuessAlgorithm,102010210,4,0,0,0.0009765625
2,OnlyZerosAlgorithm,102010210,0,0,1,0.0
2,MultiArmedBanditAlgorithm,102010210,0,0,1,0.0019533634185791016
2,MAMLReptileAlgorithm,102010210,1,0,0,0.004882097244262695
2,SATAlgorithm,102010210,17,0,0,0.0058591365814208984
3,RandomGuessAlgorithm,012201210,0,0,1,0.0009763240814208984
3,OnlyZerosAlgorithm,012201210,0,0,1,0.0
3,MultiArmedBanditAlgorithm,012201210,0,0,1,0.0
3,MAMLReptileAlgorithm,012201210,1,0,0,0.0029296875
3,SATAlgorithm,012201210,8,0,0,0.005858659744262695
4,RandomGuessAlgorithm,212110012,2,1,0,0.0
4,OnlyZerosAlgorithm,212110012,0,1,0,0.0
4,MultiArmedBanditAlgorithm,212110012,3,1,0,0.0009760856628417969
4,MAMLReptileAlgorithm,212110012,1,1,1,0.00390625
4,SATAlgorithm,212110012,2,1,0,0.0068356990814208984
5,RandomGuessAlgorithm,020010102,2,0,0,0.0009765625
5,OnlyZerosAlgorithm,020010102,0,0,1,0.0009763240814208984
5,MultiArmedBanditAlgorithm,020010102,0,0,1,0.0009770393371582031
5,MAMLReptileAlgorithm,020010102,1,0,0,0.0039055347442626953
5,SATAlgorithm,020010102,30,0,0,0.0068359375
6,RandomGuessAlgorithm,000202011,1,0,0,0.0009763240814208984
6,OnlyZerosAlgorithm,000202011,0,0,1,0.0009763240814208984
6,MultiArmedBanditAlgorithm,000202011,2,0,0,0.0
6,MAMLReptileAlgorithm,000202011,1,0,0,0.0048825740814208984
6,SATAlgorithm,000202011,16,0,0,0.005858421325683594
7,RandomGuessAlgorithm,210011202,4,0,0,0.0009768009185791016
7,OnlyZerosAlgorithm,210011202,0,0,1,0.0009763240814208984
7,MultiArmedBanditAlgorithm,210011202,0,0,1,0.0
7,MAMLReptileAlgorithm,210011202,1,0,0,0.004882097244262695
7,SATAlgorithm,210011202,23,0,0,0.0068356990814208984
8,RandomGuessAlgorithm,120121201,2,0,0,0.0009768009185791016
8,OnlyZerosAlgorithm,120121201,0,0,1,0.0009765625
8,MultiArmedBanditAlgorithm,120121201,0,0,1,0.0009768009185791016
8,MAMLReptileAlgorithm,120121201,1,0,0,0.005858659744262695
8,SATAlgorithm,120121201,6,0,0,0.007812023162841797
9,RandomGuessAlgorithm,110200000,1,0,0,0.0009768009185791016
9,OnlyZerosAlgorithm,110200000,0,0,1,0.0009765625
9,MultiArmedBanditAlgorithm,110200000,0,0,1,0.0
9,MAMLReptileAlgorithm,110200000,0,0,1,0.006835222244262695
9,SATAlgorithm,110200000,5,0,0,0.005859375
10,RandomGuessAlgorithm,101210002,0,0,1,0.0
10,OnlyZerosAlgorithm,101210002,0,0,1,0.0009765625
10,MultiArmedBanditAlgorithm,101210002,4,0,0,0.0019533634185791016
10,MAMLReptileAlgorithm,101210002,0,0,1,0.007811546325683594
10,SATAlgorithm,101210002,19,0,0,0.006835460662841797
11,RandomGuessAlgorithm,010201210,1,0,0,0.0009770393371582031
11,OnlyZerosAlgorithm,010201210,0,0,1,0.0009765625
11,MultiArmedBanditAlgorithm,010201210,0,0,1,0.0009760856628417969
11,MAMLReptileAlgorithm,010201210,0,0,1,0.009765148162841797
11,SATAlgorithm,010201210,12,0,0,0.010741233825683594
12,RandomGuessAlgorithm,212100100,4,0,0,0.0009765625
12,OnlyZerosAlgorithm,212100100,0,0,1,0.0009763240814208984
12,MultiArmedBanditAlgorithm,212100100,0,0,1,0.0009765625
12,MAMLReptileAlgorithm,212100100,0,0,1,0.008788108825683594
12,SATAlgorithm,212100100,4,0,0,0.009765148162841797
13,RandomGuessAlgorithm,212110210,2,1,0,0.0009770393371582031
13,OnlyZerosAlgorithm,212110210,0,1,0,0.0
13,MultiArmedBanditAlgorithm,212110210,0,1,0,0.0
13,MAMLReptileAlgorithm,212110210,0,1,0,0.009763956069946289
13,SATAlgorithm,212110210,9,1,0,0.007810831069946289
14,RandomGuessAlgorithm,220021011,4,0,0,0.0009760856628417969
14,OnlyZerosAlgorithm,220021011,0,0,1,0.0
14,MultiArmedBanditAlgorithm,220021011,0,0,1,0.0
14,MAMLReptileAlgorithm,220021011,0,0,1,0.009764671325683594
14,SATAlgorithm,220021011,11,0,0,0.006834506988525391
15,RandomGuessAlgorithm,000120100,0,0,1,0.0
15,OnlyZerosAlgorithm,000120100,0,0,1,0.0009770393371582031
15,MultiArmedBanditAlgorithm,000120100,0,0,1,0.0009758472442626953
15,MAMLReptileAlgorithm,000120100,0,0,1,0.010742664337158203
15,SATAlgorithm,000120100,22,0,0,0.00878763198852539
16,RandomGuessAlgorithm,000210012,3,0,0,0.0009768009185791016
16,OnlyZerosAlgorithm,000210012,0,0,1,0.0009765625
16,MultiArmedBanditAlgorithm,000210012,0,0,1,0.0
16,MAMLReptileAlgorithm,000210012,0,0,1,0.011719703674316406
16,SATAlgorithm,000210012,2,0,0,0.007810354232788086
17,RandomGuessAlgorithm,102221121,2,0,0,0.0
17,OnlyZerosAlgorithm,102221121,0,0,1,0.0009772777557373047
17,MultiArmedBanditAlgorithm,102221121,0,0,1,0.0009763240814208984
17,MAMLReptileAlgorithm,102221121,0,0,1,0.011718511581420898
17,SATAlgorithm,102221121,25,0,0,0.007811069488525391
18,RandomGuessAlgorithm,210022011,2,0,0,0.0
18,OnlyZerosAlgorithm,210022011,0,0,1,0.0009763240814208984
18,MultiArmedBanditAlgorithm,210022011,0,0,1,0.0009763240814208984
18,MAMLReptileAlgorithm,210022011,0,0,1,0.01171731948852539
18,SATAlgorithm,210022011,0,0,1,0.007812023162841797
19,RandomGuessAlgorithm,102001221,1,0,0,0.0
19,OnlyZerosAlgorithm,102001221,0,0,1,0.0019533634185791016
19,MultiArmedBanditAlgorithm,102001221,4,0,0,0.0009760856628417969
19,MAMLReptileAlgorithm,102001221,0,0,1,0.012694597244262695
19,SATAlgorithm,102001221,12,0,0,0.009768009185791016
20,RandomGuessAlgorithm,121201210,4,0,0,0.0009734630584716797
20,OnlyZerosAlgorithm,121201210,0,0,1,0.0
20,MultiArmedBanditAlgorithm,121201210,0,0,1,0.0009760856628417969
20,MAMLReptileAlgorithm,121201210,0,0,1,0.013670682907104492
20,SATAlgorithm,121201210,7,0,0,0.007813453674316406
21,RandomGuessAlgorithm,121011022,4,0,0,0.0
21,OnlyZerosAlgorithm,121011022,0,0,1,0.0019519329071044922
21,MultiArmedBanditAlgorithm,121011022,0,0,1,0.0009763240814208984
21,MAMLReptileAlgorithm,121011022,0,0,1,0.013676881790161133
21,SATAlgorithm,121011022,17,0,0,0.008788824081420898
22,RandomGuessAlgorithm,121000002,3,0,0,0.0
22,OnlyZerosAlgorithm,121000002,0,0,1,0.0009758472442626953
22,MultiArmedBanditAlgorithm,121000002,0,0,1,0.0
22,MAMLReptileAlgorithm,121000002,0,0,1,0.01406097412109375
22,SATAlgorithm,121000002,12,0,0,0.008789539337158203
23,RandomGuessAlgorithm,012120100,0,0,1,0.0
23,OnlyZerosAlgorithm,012120100,0,0,1,0.0009753704071044922
23,MultiArmedBanditAlgorithm,012120100,0,0,1,0.0009772777557373047
23,MAMLReptileAlgorithm,012120100,0,0,1,0.015635967254638672
23,SATAlgorithm,012120100,2,0,0,0.007810831069946289
24,RandomGuessAlgorithm,020101201,3,0,0,0.0
24,OnlyZerosAlgorithm,020101201,0,0,1,0.0009746551513671875
24,MultiArmedBanditAlgorithm,020101201,0,0,1,0.0009779930114746094
24,MAMLReptileAlgorithm,020101201,0,0,1,0.016527891159057617
24,SATAlgorithm,020101201,2,0,0,111.51179051399231
25,RandomGuessAlgorithm,102002001,2,0,0,0.0
25,OnlyZerosAlgorithm,102002001,0,0,1,0.0009768009185791016
25,MultiArmedBanditAlgorithm,102002001,0,0,1,0.0009763240814208984
25,MAMLReptileAlgorithm,102002001,0,0,1,0.0185549259185791
25,SATAlgorithm,102002001,21,0,0,0.011275529861450195
26,RandomGuessAlgorithm,101102212,3,0,0,0.0009510517120361328
26,OnlyZerosAlgorithm,101102212,0,0,1,0.0009775161743164062
26,MultiArmedBanditAlgorithm,101102212,0,0,1,0.0
26,MAMLReptileAlgorithm,101102212,0,0,1,0.017575740814208984
26,SATAlgorithm,101102212,27,0,0,0.011719942092895508
27,RandomGuessAlgorithm,021110022,0,0,1,0.0009756088256835938
27,OnlyZerosAlgorithm,021110022,0,0,1,0.0
27,MultiArmedBanditAlgorithm,021110022,0,0,1,0.0009763240814208984
27,MAMLReptileAlgorithm,021110022,0,0,1,0.01757645606994629
27,SATAlgorithm,021110022,17,0,0,0.011719226837158203
28,RandomGuessAlgorithm,102211201,0,1,0,0.0
28,OnlyZerosAlgorithm,102211201,0,1,0,0.0009753704071044922
28,MultiArmedBanditAlgorithm,102211201,0,1,0,0.0009760856628417969
28,MAMLReptileAlgorithm,102211201,0,1,0,0.018553733825683594
28,SATAlgorithm,102211201,26,1,0,0.010741233825683594
29,RandomGuessAlgorithm,012112122,2,2,1,0.0
29,OnlyZerosAlgorithm,012112122,0,2,0,0.0009768009185791016
29,MultiArmedBanditAlgorithm,012112122,0,2,0,0.0
29,MAMLReptileAlgorithm,012112122,0,2,0,0.019530057907104492
29,SATAlgorithm,012112122,16,2,0,0.012694358825683594
30,RandomGuessAlgorithm,022000111,1,1,1,0.0009758472442626953
30,OnlyZerosAlgorithm,022000111,0,1,0,0.0009789466857910156
30,MultiArmedBanditAlgorithm,022000111,0,1,0,0.0
30,MAMLReptileAlgorithm,022000111,0,1,0,0.020503759384155273
30,SATAlgorithm,022000111,19,1,0,0.012695550918579102
31,RandomGuessAlgorithm,100112022,2,0,0,0.0009765625
31,OnlyZerosAlgorithm,100112022,0,0,1,0.0009765625
31,MultiArmedBanditAlgorithm,100112022,1,0,0,0.0
31,MAMLReptileAlgorithm,100112022,0,0,1,0.021483659744262695
31,SATAlgorithm,100112022,26,0,0,0.012692928314208984
32,RandomGuessAlgorithm,000021000,4,0,0,0.0009770393371582031
32,OnlyZerosAlgorithm,000021000,0,0,1,0.0009768009185791016
32,MultiArmedBanditAlgorithm,000021000,0,0,1,0.0009768009185791016
32,MAMLReptileAlgorithm,000021000,0,0,1,0.021481990814208984
32,SATAlgorithm,000021000,6,0,0,0.012695550918579102
33,RandomGuessAlgorithm,021021112,0,0,1,0.0009760856628417969
33,OnlyZerosAlgorithm,021021112,0,0,1,0.0009765625
33,MultiArmedBanditAlgorithm,021021112,0,0,1,0.0
33,MAMLReptileAlgorithm,021021112,0,0,1,0.022460222244262695
33,SATAlgorithm,021021112,29,0,0,0.012694120407104492
34,RandomGuessAlgorithm,022110211,0,0,1,0.0
34,OnlyZerosAlgorithm,022110211,0,0,1,0.0009772777557373047
34,MultiArmedBanditAlgorithm,022110211,0,0,1,0.0009760856628417969
34,MAMLReptileAlgorithm,022110211,0,0,1,0.022458553314208984
34,SATAlgorithm,022110211,13,0,0,0.017576217651367188
35,RandomGuessAlgorithm,210101022,0,0,1,0.0009765625
35,OnlyZerosAlgorithm,210101022,0,0,1,0.0009751319885253906
35,MultiArmedBanditAlgorithm,210101022,0,0,1,0.0
35,MAMLReptileAlgorithm,210101022,0,0,1,0.0234377384185791
35,SATAlgorithm,210101022,7,0,0,0.01562356948852539
36,RandomGuessAlgorithm,101221200,2,0,0,0.0
36,OnlyZerosAlgorithm,101221200,0,0,1,0.0009765625
36,MultiArmedBanditAlgorithm,101221200,0,0,1,0.0009765625
36,MAMLReptileAlgorithm,101221200,0,0,1,0.025388717651367188
36,SATAlgorithm,101221200,19,0,0,0.013671159744262695
37,RandomGuessAlgorithm,211000221,2,0,0,0.0009770393371582031
37,OnlyZerosAlgorithm,211000221,0,0,1,0.0
37,MultiArmedBanditAlgorithm,211000221,0,0,1,0.0009760856628417969
37,MAMLReptileAlgorithm,211000221,0,0,1,0.02538919448852539
37,SATAlgorithm,211000221,24,0,0,0.012694597244262695
38,RandomGuessAlgorithm,021021012,1,0,0,0.0009760856628417969
38,OnlyZerosAlgorithm,021021012,0,0,1,0.0
38,MultiArmedBanditAlgorithm,021021012,0,0,1,0.0009775161743164062
38,MAMLReptileAlgorithm,021021012,0,0,1,0.025388002395629883
38,SATAlgorithm,021021012,28,0,0,0.012694120407104492
39,RandomGuessAlgorithm,111002212,4,1,0,0.0
39,OnlyZerosAlgorithm,111002212,0,1,0,0.0009768009185791016
39,MultiArmedBanditAlgorithm,111002212,0,1,0,0.0
39,MAMLReptileAlgorithm,111002212,0,1,0,0.026365041732788086
39,SATAlgorithm,111002212,26,1,0,0.012694358825683594
40,RandomGuessAlgorithm,200101201,4,0,0,0.0009784698486328125
40,OnlyZerosAlgorithm,200101201,0,0,1,0.0009751319885253906
40,MultiArmedBanditAlgorithm,200101201,3,0,0,0.0
