Round,Algorithm,Observation,Guess,Correct Label,Is Correct,Time Taken,On The House
1,RandomGuessAlgorithm,000001000,4,0,0,0.0009760856628417969,False
1,OnlyZerosAlgorithm,000001000,0,0,1,0.0009770393371582031,False
1,SATHypothesesAlgorithm,000001000,,0,0,0.051753997802734375,False
2,RandomGuessAlgorithm,122000112,3,0,0,0.0009760856628417969,False
2,OnlyZerosAlgorithm,122000112,0,0,1,0.0009763240814208984,False
2,SATHypothesesAlgorithm,122000112,,0,0,0.05468416213989258,False
3,RandomGuessAlgorithm,120012120,1,0,0,0.000978231430053711,False
3,OnlyZerosAlgorithm,120012120,0,0,1,0.0009763240814208984,False
3,SATHypothesesAlgorithm,120012120,,0,0,0.059565067291259766,False
4,RandomGuessAlgorithm,201011022,3,0,0,0.0009763240814208984,False
4,OnlyZerosAlgorithm,201011022,0,0,1,0.0,False
4,SATHypothesesAlgorithm,201011022,,0,0,0.06151938438415527,False
5,RandomGuessAlgorithm,012212101,2,0,0,0.0009765625,False
5,OnlyZerosAlgorithm,012212101,0,0,1,0.0009768009185791016,False
5,SATHypothesesAlgorithm,012212101,,0,0,0.06640219688415527,False
6,RandomGuessAlgorithm,101020012,4,0,0,0.0009772777557373047,False
6,OnlyZerosAlgorithm,101020012,0,0,1,0.0009737014770507812,False
6,SATHypothesesAlgorithm,101020012,,0,0,0.07909584045410156,False
7,RandomGuessAlgorithm,100101202,2,0,0,0.0009768009185791016,False
7,OnlyZerosAlgorithm,100101202,0,0,1,0.0,False
7,SATHypothesesAlgorithm,100101202,,0,0,0.07226085662841797,False
8,RandomGuessAlgorithm,212011020,3,0,0,0.0009784698486328125,False
8,OnlyZerosAlgorithm,212011020,0,0,1,0.0,False
8,SATHypothesesAlgorithm,212011020,,0,0,0.07323718070983887,False
9,RandomGuessAlgorithm,202010110,4,0,0,0.0009772777557373047,False
9,OnlyZerosAlgorithm,202010110,0,0,1,0.0009760856628417969,False
9,SATHypothesesAlgorithm,202010110,,0,0,0.07909607887268066,False
10,RandomGuessAlgorithm,110212122,3,0,0,0.0009775161743164062,False
10,OnlyZerosAlgorithm,110212122,0,0,1,0.0009772777557373047,False
10,SATHypothesesAlgorithm,110212122,,0,0,0.08007121086120605,False
11,RandomGuessAlgorithm,102001002,3,0,0,0.0009772777557373047,False
11,OnlyZerosAlgorithm,102001002,0,0,1,0.0,False
11,SATHypothesesAlgorithm,102001002,,0,0,0.08726978302001953,False
12,RandomGuessAlgorithm,211120201,2,0,0,0.0009765625,False
12,OnlyZerosAlgorithm,211120201,0,0,1,0.0,False
12,SATHypothesesAlgorithm,211120201,,0,0,0.08788490295410156,False
13,RandomGuessAlgorithm,220112010,1,0,0,0.0009763240814208984,False
13,OnlyZerosAlgorithm,220112010,0,0,1,0.0009770393371582031,False
13,SATHypothesesAlgorithm,220112010,,0,0,0.09374332427978516,False
14,RandomGuessAlgorithm,121011220,2,0,0,0.0009777545928955078,False
14,OnlyZerosAlgorithm,121011220,0,0,1,0.0,False
14,SATHypothesesAlgorithm,121011220,,0,0,35.224947452545166,False
15,RandomGuessAlgorithm,220101021,4,0,0,0.0009765625,False
15,OnlyZerosAlgorithm,220101021,0,0,1,0.0009763240814208984,False
15,SATHypothesesAlgorithm,220101021,,0,0,0.09862709045410156,False
16,RandomGuessAlgorithm,110122000,1,0,0,0.0009765625,False
16,OnlyZerosAlgorithm,110122000,0,0,1,0.0,False
